Id,Score,Col_1,Col_4,Col_6,Col_7,Col_9,Col_11,Col_12,Col_15,Col_17,Col_18,Col_19,Col_20,Col_23,Col_24,Col_27,Col_28,Col_29
126,1,4,a,3,5,b,c,a,b,a,2,0,a,2,b,b,a,b
127,3,6,b,0,5,b,d,a,m,g,3,0,a,2,b,h,a,b
128,4,5,a,3,4,b,c,a,a,a,1,10,b,3,b,b,a,b
129,1,9,a,6,6,b,d,a,r,h,1,3,a,3,b,f,a,b
130,7,14,a,0,3,b,c,b,b,a,0,1,a,1,b,b,a,b
131,1,17,a,1,6,b,d,c,k,f,0,0,a,1,b,f,a,b
132,3,17,a,2,4,b,d,a,k,i,1,4,b,1,b,f,a,b
133,8,5,a,0,3,b,d,a,r,g,0,9,a,1,b,f,b,b
134,1,11,a,4,11,b,c,c,i,c,1,5,a,1,b,j,a,b
135,2,18,a,2,17,b,c,a,e,b,0,0,a,2,b,b,a,b
136,6,7,b,4,6,d,d,f,j,i,0,0,b,1,b,f,a,b
137,1,18,a,1,5,b,d,a,k,h,1,3,a,3,b,f,a,b
138,6,17,b,3,1,b,d,b,p,i,3,3,a,1,b,k,a,b
139,1,15,b,2,2,b,a,f,b,a,3,3,a,1,b,j,a,b
140,4,21,a,0,18,b,c,a,e,c,1,0,b,1,b,a,a,b
141,8,9,b,6,9,b,d,f,j,f,4,5,b,1,b,i,a,b
142,5,8,a,2,16,b,d,h,k,g,1,6,a,1,b,h,a,a
143,2,11,a,1,2,b,a,f,b,f,1,0,a,2,b,b,a,b
144,4,10,a,0,0,d,c,b,c,a,2,1,a,2,b,b,a,b
145,1,0,a,0,2,b,c,f,e,b,0,0,a,1,b,j,a,b
146,4,1,a,1,4,b,c,f,c,a,2,0,a,3,b,b,a,b
147,4,10,a,3,6,b,d,a,r,g,2,0,a,1,b,f,a,b
148,4,14,a,0,17,b,d,a,k,g,0,2,b,3,b,f,a,c
149,6,7,b,5,3,b,d,f,r,i,2,1,b,3,b,i,a,b
150,2,16,a,3,17,b,c,f,i,c,0,11,b,1,b,d,a,b
151,1,3,a,0,14,b,c,f,b,f,3,2,b,1,b,b,a,a
152,2,18,b,5,4,b,d,b,r,i,1,0,b,1,b,g,c,b
153,4,19,b,2,14,b,c,f,i,c,1,2,b,1,b,b,a,b
154,5,3,a,2,7,b,c,a,c,c,3,2,b,3,b,b,a,b
155,1,11,a,1,5,b,d,a,k,g,1,6,a,3,b,h,a,b
156,1,5,a,1,4,b,c,f,a,a,2,1,b,2,b,b,a,b
157,10,13,a,3,6,b,e,a,j,f,0,0,a,1,b,f,b,b
158,14,2,b,1,5,b,d,a,k,g,0,1,a,1,b,f,a,b
159,7,18,a,0,8,b,d,f,p,f,1,5,b,1,b,f,a,b
160,4,5,a,0,7,b,d,h,k,g,1,0,a,1,b,f,d,b
161,1,0,a,0,13,b,c,c,d,f,0,0,b,3,b,j,a,b
162,9,6,a,3,6,b,d,a,m,f,1,0,b,3,b,h,a,b
163,4,12,a,0,16,b,c,a,i,b,3,9,b,1,b,b,a,b
164,1,16,a,0,1,b,c,b,b,a,0,3,a,2,b,j,a,b
165,4,17,a,1,16,b,c,a,g,b,3,1,b,1,b,b,a,b
166,1,2,a,1,2,b,d,f,k,i,1,1,a,1,b,f,a,b
167,1,12,a,3,12,b,d,a,k,f,0,0,b,1,b,f,a,b
168,2,9,a,6,12,b,d,f,j,i,2,5,a,1,b,i,a,b
169,7,13,a,4,6,b,d,f,j,i,1,10,a,1,b,g,a,b
170,14,12,a,7,8,b,c,f,b,f,2,3,a,1,b,b,a,b
171,3,16,a,3,16,b,c,a,h,b,0,5,b,1,b,b,a,d
172,9,16,a,4,5,b,c,a,b,a,3,4,a,1,b,b,a,b
173,5,18,b,0,15,b,c,h,e,b,0,3,a,1,b,b,a,b
174,3,22,a,3,11,b,c,f,e,a,1,0,b,1,b,j,a,b
175,4,2,a,1,15,b,c,f,a,f,1,2,a,1,a,b,a,b
176,1,1,a,1,6,b,d,a,n,i,1,1,b,3,b,f,a,b
177,6,16,a,1,7,b,c,a,b,a,1,0,a,1,b,b,a,b
178,5,22,a,3,8,b,d,f,k,i,2,4,b,1,b,h,b,b
179,5,15,a,1,11,b,d,f,r,f,3,0,a,3,b,h,a,a
180,1,22,a,1,9,b,d,h,l,f,4,0,a,1,b,f,a,b
181,1,0,a,0,13,b,c,a,i,c,3,0,b,3,c,a,e,b
182,2,17,a,5,8,b,d,h,k,g,0,11,a,1,b,f,a,b
183,1,3,a,2,1,b,c,f,b,a,4,0,a,1,b,b,a,b
184,4,17,a,0,6,b,d,f,r,i,0,3,b,1,b,g,b,b
185,2,13,b,2,8,b,c,a,b,c,3,0,b,1,b,b,a,b
186,8,16,a,2,8,b,d,h,k,g,3,0,b,1,b,f,a,b
187,2,18,a,3,0,b,a,b,e,a,0,0,a,1,b,j,g,b
188,1,2,b,1,1,b,d,b,k,i,1,0,b,3,b,f,f,b
189,7,22,b,4,11,b,c,f,i,b,3,0,b,1,c,j,a,b
190,2,5,a,3,12,b,c,f,i,c,0,10,b,3,b,j,a,b
191,1,22,a,3,7,b,c,f,f,f,3,3,b,1,a,b,a,b
192,2,7,a,5,3,b,a,f,b,f,1,4,b,1,b,a,a,b
193,10,11,a,1,6,b,d,a,q,i,1,8,a,1,b,h,a,b
194,4,9,a,6,16,b,d,f,m,i,2,6,b,1,d,h,a,b
195,1,18,a,3,8,b,c,f,a,c,1,8,b,1,b,b,a,b
196,1,17,a,0,0,b,c,b,b,a,0,4,a,1,b,b,a,b
197,10,8,a,5,17,b,d,f,n,i,6,1,a,2,b,h,a,b
198,4,13,a,1,5,b,c,a,b,a,0,0,a,3,b,b,a,b
199,13,6,a,4,6,b,c,f,i,b,1,4,a,1,b,b,a,b
200,1,16,a,1,4,b,c,g,g,a,2,2,a,1,b,b,c,b
201,1,4,a,3,17,b,c,h,a,a,1,0,a,3,b,a,a,b
202,2,22,a,0,14,b,c,f,g,c,0,0,a,3,b,b,a,b
203,2,19,a,2,11,b,d,f,r,i,1,5,b,1,b,h,a,b
204,2,18,b,1,2,b,c,a,e,c,0,3,b,1,b,j,a,b
205,1,14,a,2,8,b,c,b,b,b,0,3,a,1,b,b,a,b
206,7,14,a,4,11,b,d,f,n,i,2,0,a,1,a,f,a,b
207,4,4,a,0,12,b,d,f,r,i,2,5,b,3,b,f,a,b
208,4,18,a,1,4,b,d,a,j,g,1,8,b,3,b,f,a,b
209,11,9,a,2,7,b,c,b,b,c,3,0,a,1,b,j,a,b
210,4,16,a,2,4,b,e,a,k,i,1,2,b,3,b,f,a,b
211,16,11,b,0,11,b,e,h,m,i,0,0,a,1,b,h,a,b
212,7,17,a,1,4,b,c,f,a,a,1,10,b,1,b,d,a,b
213,2,16,a,1,11,b,c,f,i,b,2,0,a,1,b,j,a,b
214,1,5,a,3,4,b,d,b,r,i,0,0,b,1,b,g,a,b
215,1,20,a,1,1,b,c,b,i,a,2,2,a,2,b,j,a,b
216,4,3,a,2,5,b,c,a,b,a,2,2,b,3,b,b,a,b
217,1,10,b,1,10,a,c,f,e,c,0,9,b,1,b,j,a,b
218,1,16,a,4,8,d,c,c,b,a,1,0,b,1,b,b,a,b
219,4,3,a,1,17,b,d,a,k,g,0,3,b,3,b,h,a,b
220,2,13,a,2,15,b,c,a,h,a,2,1,a,3,b,b,a,b
221,7,1,a,0,15,b,d,f,r,i,1,2,a,1,b,f,a,b
222,1,17,a,2,0,b,a,b,i,a,0,0,b,3,b,a,a,b
223,1,3,a,2,7,b,a,f,b,a,2,0,a,1,b,b,a,b
224,1,18,a,1,5,d,d,g,k,g,1,9,a,3,b,f,a,b
225,2,19,b,1,9,b,c,f,i,c,3,0,a,1,b,j,a,b
226,1,0,a,0,14,b,c,a,i,b,1,0,b,3,c,b,a,b
227,1,5,b,3,1,b,d,b,k,i,1,0,a,3,b,h,a,b
228,12,14,a,1,6,b,d,f,m,f,0,2,a,1,b,h,b,b
229,1,12,a,0,15,d,d,a,n,g,1,0,b,3,b,h,a,b
230,3,16,a,6,8,b,d,h,r,g,1,4,b,1,d,f,a,b
231,1,15,a,0,13,b,c,f,i,c,1,1,b,3,b,b,a,b
232,1,21,a,5,11,b,d,h,q,f,1,0,b,1,b,f,a,b
233,1,5,a,3,18,b,d,c,n,f,0,0,a,1,b,h,a,b
234,7,14,a,2,10,b,d,h,k,g,1,1,a,1,b,h,a,b
235,7,13,a,1,4,b,d,a,r,g,0,0,b,3,b,f,a,b
236,13,22,a,3,1,b,c,f,c,a,2,0,a,2,b,e,a,b
237,1,22,a,5,9,b,c,f,d,c,3,0,b,1,b,j,a,b
238,5,12,a,1,10,b,c,f,i,a,1,0,b,1,b,b,a,b
239,14,7,a,1,9,b,d,d,r,i,0,3,a,1,b,h,a,c
240,5,8,a,6,1,b,a,b,c,a,2,1,b,2,b,a,f,d
241,1,17,a,3,7,b,c,h,b,f,0,0,b,1,b,b,a,b
242,3,22,b,3,7,a,c,f,a,b,2,5,a,2,b,j,a,b
243,1,8,a,5,17,b,d,a,r,f,1,0,b,1,b,f,a,b
244,1,11,b,4,17,b,d,f,r,f,1,1,b,1,b,h,a,b
245,1,17,a,3,18,b,c,a,e,f,3,0,a,1,b,b,a,b
246,1,23,b,4,10,d,c,f,i,c,0,2,a,1,b,j,a,b
247,4,21,a,0,9,b,c,f,d,f,2,0,b,3,b,b,a,b
248,4,17,a,1,3,b,c,a,i,a,1,4,a,1,d,b,a,b
249,2,23,a,1,11,b,d,f,k,i,1,4,a,3,d,f,a,b
250,1,17,b,3,13,b,d,f,k,i,0,0,b,1,b,f,a,b
251,4,20,a,0,11,b,d,a,l,g,2,1,b,3,b,h,c,b
252,4,9,a,0,18,b,c,f,i,c,1,2,b,1,b,b,a,b
253,11,20,a,2,14,b,c,f,i,c,0,11,b,3,b,d,a,b
254,4,10,a,1,18,b,c,f,d,b,3,0,a,1,b,b,a,b
255,4,13,a,5,6,d,c,f,i,a,1,0,a,1,b,b,b,b
256,3,17,b,2,12,b,d,f,r,i,1,2,a,1,b,f,a,b
257,1,15,b,4,4,b,d,a,j,i,1,0,a,1,b,h,a,b
258,4,9,b,6,13,b,a,h,b,c,2,7,b,3,b,b,a,b
259,1,16,a,2,7,b,d,f,k,i,1,0,b,1,b,h,a,b
260,1,2,a,0,1,b,d,b,n,i,1,6,a,1,b,h,f,b
261,8,7,a,4,10,d,d,f,k,i,2,0,a,1,b,f,a,b
262,4,16,a,3,15,b,c,a,d,c,1,4,a,1,b,b,a,b
263,2,21,a,8,13,b,c,f,i,c,0,2,a,1,b,j,b,b
264,1,14,a,1,5,b,c,a,i,a,2,4,b,1,b,b,a,b
265,1,22,a,1,2,b,d,g,r,f,0,0,b,1,b,f,a,d
266,3,22,b,1,9,b,c,f,i,c,2,0,a,1,b,b,a,b
267,2,5,b,3,17,b,a,a,i,c,1,3,a,1,b,b,a,b
268,2,17,a,0,13,b,c,f,i,b,1,10,a,1,b,b,a,b
269,2,10,a,7,8,b,a,a,a,c,1,0,b,1,b,b,a,b
270,10,19,a,2,10,b,c,f,e,f,1,5,b,1,b,d,a,b
271,2,13,b,4,4,b,e,a,r,i,4,0,b,1,b,f,a,a
272,1,17,a,1,14,b,c,c,b,b,1,0,b,1,b,b,a,b
273,5,3,a,2,18,b,c,f,b,b,0,0,b,3,b,b,a,b
274,1,17,a,2,2,b,c,f,e,f,2,1,a,1,b,j,a,b
275,7,11,a,1,13,b,c,e,i,b,0,0,a,1,b,j,a,b
276,3,17,a,4,8,d,d,h,k,f,0,0,b,1,a,f,a,b
277,6,14,a,1,6,b,c,a,b,a,0,0,a,3,b,b,a,b
278,2,8,a,0,16,b,e,a,r,g,0,1,a,1,b,f,a,b
279,3,20,a,2,14,b,c,a,d,c,1,3,a,1,b,b,a,b
280,4,5,a,1,0,b,c,b,b,a,2,0,a,1,b,b,f,b
281,2,1,a,1,4,b,d,b,r,i,3,8,a,3,b,f,c,b
282,5,4,a,5,0,b,c,f,b,a,4,6,b,3,b,b,f,b
283,7,0,a,0,8,b,c,f,i,c,2,0,b,1,b,b,a,b
284,3,18,a,2,14,b,c,a,g,c,1,1,b,1,b,b,a,b
285,1,22,a,3,12,b,d,f,n,f,2,0,b,1,b,h,f,b
286,13,23,b,4,8,b,d,f,r,i,1,7,b,1,b,h,a,b
287,1,3,b,2,1,b,e,b,l,i,1,0,a,2,b,f,f,b
288,5,17,b,1,17,b,e,a,k,g,2,1,a,3,b,f,a,b
289,1,18,a,2,1,b,c,b,a,a,1,11,b,2,b,e,a,b
290,1,12,b,1,3,b,c,e,a,a,0,4,a,1,b,b,a,b
291,1,12,a,7,2,b,d,e,k,i,1,6,b,1,b,h,f,c
292,9,14,a,3,6,b,d,g,p,g,2,0,b,0,b,f,a,b
293,5,17,a,3,6,b,a,a,b,a,1,0,a,1,b,b,a,b
294,2,12,a,3,3,b,d,f,n,i,1,4,a,1,b,h,a,d
295,4,4,b,2,4,b,e,b,k,i,1,0,a,1,b,h,f,b
296,1,4,b,2,15,b,d,a,m,i,1,0,a,3,b,f,a,b
297,1,11,b,2,13,b,c,f,i,c,6,1,a,2,b,b,a,b
298,4,11,a,2,1,b,d,b,j,f,1,0,b,1,b,f,f,b
299,5,16,b,2,4,b,d,a,p,i,1,0,b,1,b,f,a,b
300,1,16,b,0,16,b,d,a,k,i,1,11,a,1,b,h,a,b
301,10,17,a,0,6,b,d,a,k,f,4,0,b,2,b,f,a,b
302,6,17,a,4,4,b,d,b,j,i,1,5,b,1,b,f,a,b
303,8,11,a,3,15,b,c,f,i,a,2,1,b,1,b,b,a,b
304,1,18,a,1,1,b,d,b,k,i,2,0,a,2,b,h,a,b
305,5,13,a,2,6,b,d,f,k,f,6,0,b,1,b,h,a,b
306,4,22,a,0,11,b,c,a,i,f,1,2,a,2,b,j,a,b
307,4,17,a,5,6,b,c,a,h,a,4,6,b,1,b,b,a,b
308,2,17,a,1,3,b,d,f,r,i,0,6,a,3,b,f,a,b
309,14,18,a,4,13,b,d,b,k,i,0,9,b,1,a,h,a,b
310,13,22,a,3,11,b,d,f,o,f,1,1,a,1,b,h,a,b
311,1,8,a,5,2,b,c,f,b,f,3,4,a,3,b,b,a,b
312,1,8,b,5,15,b,c,f,b,a,1,3,a,3,b,b,a,b
313,1,17,b,2,2,b,d,b,r,i,1,1,b,1,b,f,a,b
314,4,17,a,1,7,b,c,a,e,f,1,1,a,2,b,b,a,b
315,1,20,a,1,11,b,d,a,m,g,0,0,a,1,b,f,e,b
316,22,14,b,6,2,b,d,f,p,f,0,10,a,1,b,f,b,c
317,4,21,a,1,8,b,d,f,r,i,1,1,b,3,b,f,a,b
318,2,16,a,1,10,b,c,d,a,f,1,9,b,3,b,j,a,c
319,4,6,a,4,1,b,c,b,i,a,1,1,a,4,b,b,f,b
320,7,21,b,6,8,b,d,f,j,i,0,10,a,1,b,h,a,b
321,7,10,a,6,17,b,c,f,i,b,2,5,b,1,b,b,a,c
322,13,11,b,1,11,b,c,f,e,c,1,0,a,1,c,j,a,b
323,4,15,a,2,6,b,a,a,i,a,2,7,b,1,d,b,a,b
324,4,6,a,2,0,b,c,b,i,a,1,1,b,1,b,e,a,b
325,1,7,b,5,3,b,d,f,r,i,0,3,a,1,b,h,a,b
326,1,5,a,3,12,b,d,f,n,i,0,9,b,1,b,f,a,b
327,2,17,a,2,12,b,c,f,i,f,0,0,a,1,b,d,a,b
328,1,14,a,2,5,b,d,a,n,i,1,1,a,3,b,f,a,b
329,1,4,a,0,5,b,c,a,b,b,1,0,b,3,b,b,a,b
330,2,12,a,0,5,b,d,a,k,g,1,1,b,3,b,g,a,b
331,4,14,a,4,14,b,c,a,i,c,1,4,a,2,b,b,a,b
332,1,6,a,0,11,b,c,a,d,f,0,0,a,3,b,a,e,b
333,1,5,a,3,6,b,d,a,r,i,1,3,a,3,b,h,a,b
334,1,16,b,2,5,b,d,a,j,i,0,2,a,1,b,f,a,b
335,13,19,a,3,12,c,d,f,k,i,2,3,b,1,b,f,a,b
336,1,13,a,4,13,b,d,f,r,f,0,0,b,1,b,f,a,b
337,3,8,b,0,2,b,c,b,i,b,0,0,b,1,b,j,a,b
338,5,20,a,2,11,c,d,f,k,i,2,1,b,1,b,h,a,b
339,3,11,b,2,5,b,c,f,a,a,0,0,a,1,c,a,a,b
340,3,18,a,4,8,b,c,h,d,b,1,5,a,1,b,j,a,b
341,10,9,a,6,2,b,d,c,j,i,3,2,a,1,b,k,a,b
342,12,22,a,3,10,b,d,f,k,i,3,2,a,2,b,f,a,b
343,4,8,a,5,17,b,c,h,b,f,1,1,a,1,a,b,a,b
344,1,1,b,0,6,d,d,a,r,i,1,1,a,3,b,g,a,b
345,4,12,a,2,12,b,d,f,r,f,1,0,a,2,b,f,a,b
346,2,16,a,1,6,b,d,a,r,g,0,10,a,1,b,h,a,b
347,4,14,a,1,1,b,c,g,i,a,4,4,a,3,b,a,f,b
348,4,6,b,2,10,b,d,f,r,i,0,11,a,1,b,f,a,b
349,8,20,a,2,1,b,c,f,a,a,4,10,b,2,b,j,a,b
350,1,9,a,2,5,b,d,a,p,g,1,6,a,3,b,g,a,b
351,1,16,a,0,16,b,f,a,r,i,0,0,a,1,b,f,a,b
352,4,17,a,0,6,b,c,f,i,a,1,1,a,3,b,b,a,b
353,1,6,a,4,8,b,d,a,r,f,1,0,a,1,b,f,a,b
354,1,5,a,3,7,c,c,a,b,f,3,0,b,1,b,b,a,b
355,1,20,a,1,11,b,d,f,r,f,1,0,a,1,b,f,a,b
356,15,16,a,2,7,b,c,e,e,f,3,0,a,1,b,j,a,b
357,5,12,a,2,6,b,e,a,r,i,0,5,b,1,b,g,a,b
358,1,3,a,2,6,b,d,a,r,i,3,2,a,3,b,f,a,d
359,8,9,a,5,8,b,d,f,r,f,1,0,a,3,b,f,a,b
360,4,17,a,1,2,b,d,a,j,g,0,11,a,1,b,f,a,b
361,1,13,a,0,17,b,c,f,i,a,0,1,a,1,b,b,a,b
362,1,6,b,4,3,b,c,a,i,a,3,0,b,3,b,b,a,b
363,10,3,b,2,10,b,c,f,i,c,3,0,b,1,b,j,a,b
